race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;complete;NA;20638;21639;NA;NA;"NA";"GER";1970;M;40;1922;"02:32:42";"03:08:03";44;152.7;188.05
21k;complete;NA;6733;16450;NA;NA;"Vs Markleeberg";"GER";1970;M;40;885;"01:50:59";"02:05:58";44;110.9833;125.9667
21k;complete;NA;7898;19125;NA;NA;"NA";"GER";1963;M;50;835;"01:53:45";"01:56:20";51;113.75;116.3333
21k;complete;NA;12974;10878;NA;NA;"NA";"GRE";1971;M;40;1466;"02:04:28";"02:36:09";43;124.4667;156.15
21k;complete;NA;4277;3610;NA;NA;"Is-Göta Helsingborg";"SWE";1970;M;40;608;"01:44:48";"01:47:51";44;104.8;107.85
21k;complete;NA;4075;16026;NA;NA;"NA";"IRL";1971;M;40;584;"01:44:15";"01:45:02";43;104.25;105.0333
21k;complete;NA;9931;12920;NA;NA;"NA";"NOR";1974;M;40;1205;"01:57:55";"02:01:29";40;117.9167;121.4833
21k;complete;NA;19755;5619;NA;NA;"NA";"GER";1971;M;40;1876;"02:26:59";"03:03:01";43;146.9833;183.0167
21k;complete;NA;6936;12257;NA;NA;"Craemer Run Funner";"GER";1972;M;40;911;"01:51:37";"02:16:05";42;111.6167;136.0833
21k;complete;NA;20342;18858;NA;NA;"NA";"GER";1970;M;40;1909;"02:30:32";"03:00:26";44;150.5333;180.4333
21k;complete;NA;12767;18568;NA;NA;"NA";"NED";1970;M;40;1447;"02:03:59";"02:28:43";44;123.9833;148.7167
21k;complete;NA;17046;19166;NA;NA;"LG Studentenwerk Berlin";"GER";1964;M;50;1632;"02:15:37";"02:41:59";50;135.6167;161.9833
